Sequence;Taille;Duree
v11 v1 v21 v31 v5;5;175
v12 v1 v21 v31 v5;5;164
v13 v1 v21 v31 v5;5;158
v11 v1 v2 v21 v31 v5;6;199
v12 v1 v2 v21 v31 v5;6;188
v13 v1 v2 v21 v31 v5;6;182
v11 v1 v22 v31 v5;5;164
v12 v1 v22 v31 v5;5;153
v13 v1 v22 v31 v5;5;147
v11 v1 v2 v22 v31 v5;6;188
v12 v1 v2 v22 v31 v5;6;177
v13 v1 v2 v22 v31 v5;6;171
v11 v1 v23 v31 v5;5;158
v12 v1 v23 v31 v5;5;147
v13 v1 v23 v31 v5;5;141
v11 v1 v2 v23 v31 v5;6;182
v12 v1 v2 v23 v31 v5;6;171
v13 v1 v2 v23 v31 v5;6;165
v11 v1 v21 v3 v31 v5;6;199
v12 v1 v21 v3 v31 v5;6;188
v13 v1 v21 v3 v31 v5;6;182
v11 v1 v2 v21 v3 v31 v5;7;223
v12 v1 v2 v21 v3 v31 v5;7;212
v13 v1 v2 v21 v3 v31 v5;7;206
v11 v1 v22 v3 v31 v5;6;188
v12 v1 v22 v3 v31 v5;6;177
v13 v1 v22 v3 v31 v5;6;171
v11 v1 v2 v22 v3 v31 v5;7;212
v12 v1 v2 v22 v3 v31 v5;7;201
v13 v1 v2 v22 v3 v31 v5;7;195
v11 v1 v23 v3 v31 v5;6;182
v12 v1 v23 v3 v31 v5;6;171
v13 v1 v23 v3 v31 v5;6;165
v11 v1 v2 v23 v3 v31 v5;7;206
v12 v1 v2 v23 v3 v31 v5;7;195
v13 v1 v2 v23 v3 v31 v5;7;189
v11 v1 v21 v4 v31 v5;6;199
v12 v1 v21 v4 v31 v5;6;188
v13 v1 v21 v4 v31 v5;6;182
v11 v1 v2 v21 v4 v31 v5;7;223
v12 v1 v2 v21 v4 v31 v5;7;212
v13 v1 v2 v21 v4 v31 v5;7;206
v11 v1 v22 v4 v31 v5;6;188
v12 v1 v22 v4 v31 v5;6;177
v13 v1 v22 v4 v31 v5;6;171
v11 v1 v2 v22 v4 v31 v5;7;212
v12 v1 v2 v22 v4 v31 v5;7;201
v13 v1 v2 v22 v4 v31 v5;7;195
v11 v1 v23 v4 v31 v5;6;182
v12 v1 v23 v4 v31 v5;6;171
v13 v1 v23 v4 v31 v5;6;165
v11 v1 v2 v23 v4 v31 v5;7;206
v12 v1 v2 v23 v4 v31 v5;7;195
v13 v1 v2 v23 v4 v31 v5;7;189
v11 v1 v21 v3 v4 v31 v5;7;223
v12 v1 v21 v3 v4 v31 v5;7;212
v13 v1 v21 v3 v4 v31 v5;7;206
v11 v1 v2 v21 v3 v4 v31 v5;8;247
v12 v1 v2 v21 v3 v4 v31 v5;8;236
v13 v1 v2 v21 v3 v4 v31 v5;8;230
v11 v1 v22 v3 v4 v31 v5;7;212
v12 v1 v22 v3 v4 v31 v5;7;201
v13 v1 v22 v3 v4 v31 v5;7;195
v11 v1 v2 v22 v3 v4 v31 v5;8;236
v12 v1 v2 v22 v3 v4 v31 v5;8;225
v13 v1 v2 v22 v3 v4 v31 v5;8;219
v11 v1 v23 v3 v4 v31 v5;7;206
v12 v1 v23 v3 v4 v31 v5;7;195
v13 v1 v23 v3 v4 v31 v5;7;189
v11 v1 v2 v23 v3 v4 v31 v5;8;230
v12 v1 v2 v23 v3 v4 v31 v5;8;219
v13 v1 v2 v23 v3 v4 v31 v5;8;213
v11 v1 v21 v32 v5;5;164
v12 v1 v21 v32 v5;5;153
v13 v1 v21 v32 v5;5;147
v11 v1 v2 v21 v32 v5;6;188
v12 v1 v2 v21 v32 v5;6;177
v13 v1 v2 v21 v32 v5;6;171
v11 v1 v22 v32 v5;5;153
v12 v1 v22 v32 v5;5;142
v13 v1 v22 v32 v5;5;136
v11 v1 v2 v22 v32 v5;6;177
v12 v1 v2 v22 v32 v5;6;166
v13 v1 v2 v22 v32 v5;6;160
v11 v1 v23 v32 v5;5;147
v12 v1 v23 v32 v5;5;136
v13 v1 v23 v32 v5;5;130
v11 v1 v2 v23 v32 v5;6;171
v12 v1 v2 v23 v32 v5;6;160
v13 v1 v2 v23 v32 v5;6;154
v11 v1 v21 v3 v32 v5;6;188
v12 v1 v21 v3 v32 v5;6;177
v13 v1 v21 v3 v32 v5;6;171
v11 v1 v2 v21 v3 v32 v5;7;212
v12 v1 v2 v21 v3 v32 v5;7;201
v13 v1 v2 v21 v3 v32 v5;7;195
v11 v1 v22 v3 v32 v5;6;177
v12 v1 v22 v3 v32 v5;6;166
v13 v1 v22 v3 v32 v5;6;160

